Pos,Name,Number,Rating,Ranking,Height,Weight,Age,Birthday,Exp.,Drafted,Draft Round,Draft Pick,College
OT, Jack Driscoll,63,67,#68 OT,"6'5""",312,25,4/1/97,3,2020,4,145,Auburn
OT, Brett Toth,64,67,#68 OT,"6'6""",304,25,9/1/96,4,2019,,,Army
OT, Le'Raven Clark,74,67,#68 OT,"6'5""",311,29,4/22/93,7,2016,3,82,Texas Tech
DL, Jordan Davis,90,67,#13 DL,"6'6""",340,22,1/12/00,0,2022,1,13,Georgia
DL, Noah Elliss,61,67,#13 DL,"6'4""",347,,,0,2022,,,Idaho
DL, Ali Fayad,59,67,#13 DL,"6'2""",250,,,0,2022,,,Western Michigan
DT, Fletcher Cox,91,89,#3 DT,"6'4""",310,31,12/13/90,11,2012,1,12,Mississippi State
DT, Javon Hargrave,97,85,#6 DT,"6'2""",305,29,2/7/93,7,2016,3,89,South Carolina State
DT, Marvin Wilson,73,69,#45 DT,"6'3""",319,23,9/5/98,1,2021,,,Florida State
DT, Renell Wren,98,68,#52 DT,"6'5""",315,26,10/23/95,4,2019,4,125,Arizona State
DT, Marlon Tuipulotu,95,67,#57 DT,"6'2""",307,22,5/31/99,2,2021,6,189,USC
DE, Brandon Graham,55,82,#22 DE,"6'2""",265,34,4/3/88,13,2010,1,13,Michigan
DE, Josh Sweat,94,78,#33 DE,"6'5""",251,25,3/29/97,5,2018,4,130,Florida State
DE, Derek Barnett,96,78,#33 DE,"6'3""",259,25,6/25/96,6,2017,1,14,Tennessee
DE, Milton Williams,93,73,#48 DE,"6'3""",284,23,4/6/99,2,2021,3,73,Louisiana Tech
DE, Joe Ostman,,67,#97 DE,"6'3""",259,26,7/12/95,3,2018,,,Central Michigan
DE, Tarron Jackson,75,67,#97 DE,"6'2""",254,23,6/22/98,2,2021,6,191,Coastal Carolina
DE, Kyron Johnson,58,67,#97 DE,"6'4""",235,23,7/24/98,0,2022,6,181,Kansas
DE, Matt Leo,66,67,#97 DE,"6'7""",280,30,5/8/92,2,2020,,,Iowa State
LB, Davion Taylor,52,71,#23 LB,"6'0""",228,23,8/5/98,3,2020,3,103,Colorado
LB, Shaun Bradley,54,67,#42 LB,"6'1""",235,25,4/8/97,3,2020,6,196,Temple
LB, JaCoby Stevens,30,67,#42 LB,"6'1""",212,23,6/19/98,1,2021,6,224,LSU
LB, Christian Elliss,53,67,#42 LB,"6'3""",231,23,1/2/99,1,2021,,,Idaho
LB, Nakobe Dean,17,67,#42 LB,"6'0""",225,21,12/13/00,0,2022,3,83,Georgia
OLB, Haason Reddick,7,83,#13 OLB,"6'1""",235,27,9/22/94,6,2017,1,13,Temple
OLB, Patrick Johnson,48,67,#64 OLB,"6'2""",240,23,1/10/99,2,2021,7,234,Tulane
ILB, T.J. Edwards,57,77,#14 ILB,"6'1""",242,25,8/12/96,4,2019,,,Wisconsin
ILB, Kyzir White,43,76,#17 ILB,"6'2""",218,26,3/24/96,5,2018,4,119,West Virginia
CB, Darius Slay,2,92,#3 CB,"6'0""",190,31,1/1/91,10,2013,2,36,Mississippi State
CB, Avonte Maddox,29,78,#45 CB,"5'9""",184,26,3/31/96,5,2018,4,125,Pittsburgh
CB, Josiah Scott,33,71,#107 CB,"5'9""",185,23,4/5/99,3,2020,4,137,Michigan State
CB, Andre Chachere,21,67,#142 CB,"6'0""",200,26,2/10/96,3,2018,,,San Jose State
CB, Kary Vincent Jr.,34,67,#142 CB,"5'10""",185,23,2/27/99,2,2021,7,237,LSU
CB, Mario Goodrich,24,67,#142 CB,"6'0""",190,22,1/12/00,0,2022,,,Clemson
CB, Craig James,31,67,#142 CB,"5'10""",195,26,4/29/96,4,2018,,,Southern Illinois
CB, Zech McPhearson,27,67,#142 CB,"5'11""",191,23,10/21/98,2,2021,4,123,Texas Tech
CB, Mac McCain III,37,67,#142 CB,"6'0""",175,24,2/6/98,2,2021,,,North Carolina A&T
CB, Tay Gowan,36,67,#142 CB,"6'2""",185,24,1/7/98,2,2021,6,223,Central Florida
CB, Josh Blackwell,39,67,#142 CB,"6'0""",175,23,4/5/99,0,2022,,,Duke
DB, Joshua Jobe,38,67,#10 DB,"6'1""",194,24,4/9/98,0,2022,,,Alabama
FS, Anthony Harris,28,78,#11 FS,"6'1""",202,30,10/9/91,8,2015,,,Virginia
FS, Marcus Epps,22,67,#37 FS,"6'0""",198,26,1/27/96,4,2019,6,191,Wyoming
S, K'Von Wallace,42,71,#15 S,"5'11""",205,24,7/25/97,3,2020,4,127,Clemson
S, Reed Blankenship,46,67,#27 S,"6'1""",196,23,3/2/99,0,2022,,,Middle Tennessee State
S, Jared Mayden,41,67,#27 S,"6'0""",205,23,6/24/98,2,2020,,,Alabama
LS, Rick Lovato,45,,,"6'2""",249,29,9/9/92,6,2015,,,Old Dominion
K, Jake Elliott,4,77,#11 K,"5'9""",167,27,1/21/95,6,2017,5,153,Memphis
P, Arryn Siposs,8,67,#34 P,"6'2""",212,29,11/25/92,2,2020,,,Auburn
