Pos,Name,Number,Rating,Ranking,Height,Weight,Age,Birthday,Exp.,Drafted,Draft Round,Draft Pick,College
DE, Khalid Kareem,90,67,#97 DE,"6'4""",262,24,4/28/98,3,2020,5,147,Notre Dame
DE, Cam Sample,96,67,#97 DE,"6'3""",274,22,9/20/99,2,2021,4,111,Tulane
LB, Logan Wilson,55,82,#3 LB,"6'2""",241,25,7/8/96,3,2020,3,65,Wyoming
LB, Akeem Davis-Gaither,59,70,#26 LB,"6'1""",224,24,9/21/97,3,2020,4,107,Appalachian State
LB, Joe Bachie,49,67,#42 LB,"6'2""",231,24,2/26/98,2,2020,,,Michigan State
LB, Keandre Jones,47,67,#42 LB,"6'3""",220,24,9/24/97,2,2020,,,Maryland
LB, Clay Johnston,44,67,#42 LB,"6'1""",232,25,8/8/96,2,2020,7,234,Baylor
LB, Clarence Hicks,,67,#42 LB,"6'2""",225,23,12/7/98,0,2022,,,Texas-San Antonio
LB, Markus Bailey,51,67,#42 LB,"6'0""",235,25,3/7/97,3,2020,7,215,Purdue
OLB, Carson Wells,,67,#64 OLB,"6'4""",245,23,2/20/99,0,2022,,,Colorado
ILB, Germaine Pratt,57,74,#22 ILB,"6'2""",245,25,5/21/96,4,2019,3,72,North Carolina State
CB, Chidobe Awuzie,22,87,#11 CB,"6'0""",202,26,5/24/95,6,2017,2,60,Colorado
CB, Mike Hilton,21,82,#25 CB,"5'9""",184,28,3/9/94,6,2016,,,Mississippi
CB, Eli Apple,20,74,#81 CB,"6'1""",205,26,8/9/95,7,2016,1,10,Ohio State
CB, Tre Flowers,33,72,#100 CB,"6'3""",203,26,6/2/95,5,2018,5,146,Oklahoma State
CB, Cam Taylor-Britt,29,67,#142 CB,"6'0""",197,22,10/15/99,0,2022,2,60,Nebraska
CB, John Brannon,39,67,#142 CB,"6'0""",190,24,3/10/98,2,2020,,,Western Carolina
CB, Jalen Davis,35,67,#142 CB,"5'10""",185,26,2/2/96,3,2018,,,Utah State
DB, Daxton Hill,23,67,#10 DB,"6'0""",190,21,9/29/00,0,2022,1,31,Michigan
DB, Brendan Radley-Hiles,,67,#10 DB,"5'9""",180,22,8/4/99,0,2022,,,Washington
SS, Vonn Bell,24,83,#10 SS,"5'11""",205,27,12/12/94,7,2016,2,61,Ohio State
SS, Michael Thomas,31,73,#30 SS,"5'11""",195,32,3/17/90,9,2012,,,Stanford
FS, Jessie Bates III,30,92,#2 FS,"6'1""",200,25,2/26/97,5,2018,2,54,Wake Forest
FS, Trayvon Henderson,41,67,#37 FS,"6'0""",205,26,8/15/95,5,2018,,,Hawaii
FS, Brandon Wilson,40,67,#37 FS,"5'10""",200,27,7/27/94,6,2017,6,207,Houston
S, Tycen Anderson,26,67,#27 S,"6'2""",210,23,6/13/98,0,2022,5,166,Toledo
LS, Clark Harris,46,,,"6'5""",250,37,7/10/84,14,2007,7,243,Rutgers
LS, Cal Adomitis,,,,"6'2""",250,23,7/9/98,0,2022,,,Pittsburgh
K, Evan McPherson,2,79,#8 K,"5'11""",185,22,7/21/99,2,2021,5,149,Florida
P, Kevin Huber,10,74,#19 P,"6'1""",210,36,7/16/85,14,2009,5,142,Cincinnati
P, Drue Chrisman,4,67,#34 P,"6'2""",222,22,7/7/99,1,2021,,,Ohio State
