Pos,Name,Number,Rating,Ranking,Height,Weight,Age,Birthday,Exp.,Drafted,Draft Round,Draft Pick,College
DB, Juanyeh Thomas,,67,#10 DB,"6'3""",217,21,6/24/00,0,2022,,,Georgia Tech
DB, Markquese Bell,,67,#10 DB,"6'3""",205,,,0,2022,,,Florida A&M
DB, Quandre Mosely,,67,#10 DB,"6'2""",185,,,0,2022,,,Kentucky
SS, La'Kendrick Van Zandt,,67,#45 SS,"6'1""",206,,,0,2022,,,TCU
FS, Jayron Kearse,27,77,#13 FS,"6'4""",215,28,2/11/94,8,2016,7,244,Clemson
FS, Malik Hooker,28,75,#21 FS,"6'1""",214,26,4/2/96,6,2017,1,15,Ohio State
S, Donovan Wilson,6,76,#10 S,"6'0""",204,27,2/21/95,4,2019,6,213,Texas A&M
S, Tyler Coyle,39,67,#27 S,"6'1""",209,23,11/14/98,1,2021,,,Purdue
LS, Jake McQuaide,44,,,"6'2""",247,34,12/7/87,12,2011,,,Ohio State
K, Chris Naggar,19,67,#33 K,"5'11""",193,24,12/9/97,1,2021,,,Southern Methodist
K, Jonathan Garibay,,67,#33 K,"6'1""",215,,,0,2022,,,Texas Tech
P, Bryan Anger,5,81,#5 P,"6'3""",202,33,10/6/88,11,2012,3,70,California
