Pos,Name,Number,Rating,Ranking,Height,Weight,Age,Birthday,Exp.,Drafted,Draft Round,Draft Pick,College
CB, Quincy Wilson,36,67,#142 CB,"6'2""",193,25,8/16/96,6,2017,2,46,Florida
DB, Keion Crossen,27,74,#5 DB,"5'10""",185,26,4/17/96,5,2018,7,243,Western Carolina
DB, Kader Kohou,,67,#10 DB,"5'9""",190,,,0,2022,,,Texas A&M Commerce
DB, Elijah Hamilton,,67,#10 DB,"6'2""",205,23,5/13/98,0,2022,,,Lousiana Tech
SS, Eric Rowe,21,80,#17 SS,"6'1""",205,29,10/3/92,8,2015,2,47,Utah
SS, Clayton Fejedelem,42,71,#35 SS,"6'0""",205,28,6/2/93,7,2016,7,245,Illinois
SS, Elijah Campbell,22,67,#45 SS,"5'10""",196,26,8/24/95,3,2018,,,Nortern Iowa
FS, Brandon Jones,29,73,#26 FS,"6'0""",191,24,4/2/98,3,2020,3,70,Texas
FS, Sheldrick Redwine,20,72,#28 FS,"6'0""",196,25,11/6/96,4,2019,4,119,Miami (FL)
S, Jevon Holland,8,82,#4 S,"6'1""",196,22,1/20/00,2,2021,2,36,Oregon
S, Verone McKinley III,,67,#27 S,"5'11""",194,21,6/29/00,0,2022,,,Oregon
LS, Blake Ferguson,44,,,"6'3""",226,25,4/21/97,3,2020,6,185,LSU
K, Jason Sanders,7,76,#15 K,"5'11""",186,26,11/16/95,5,2018,7,229,New Mexico
P, Thomas Morstead,4,76,#15 P,"6'4""",235,36,3/8/86,14,2009,5,164,Southern Methodist
P, Tommy Heatherly,,67,#34 P,"5'11""",210,,,0,2022,,,Florida International
